ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745480119.624074,Cg4h0x2SmzE5ksTB19,192.168.1.27,43948,142.251.175.95,443,tcp,-,0.203048,0,647,SHR,T,F,0,^dCfa,0,0,4,855,-,BENIGN
1745480120.812153,CetomX3vHwfogCRWTa,192.168.1.27,59584,146.75.46.91,443,tcp,-,0.019980,0,0,RSTO,T,F,0,CfadtRR,4,160,4,232,-,BENIGN
1745480121.812567,C73LAs3PRbM4fS0KJ2,192.168.1.27,40422,151.101.2.91,443,tcp,-,0.018561,1,0,RSTO,T,F,0,CfadtRR,4,160,4,232,-,BENIGN
1745480122.850275,CLoeGC3uzkg6g7ila,192.168.1.27,59592,146.75.46.91,443,tcp,-,0.019901,0,0,RSTO,T,F,0,CfadtRR,4,160,4,232,-,BENIGN
1745480122.850627,CKFTq722qv3wS1Zjr9,192.168.1.27,42382,69.173.158.64,443,tcp,-,0.041130,0,0,RSTRH,T,F,0,CfaAr,1,52,3,144,-,BENIGN
1745480122.852339,CxAVmp1L16Pb0cWZfh,192.168.1.27,59588,146.75.46.91,443,tcp,-,0.020399,0,0,RSTO,T,F,0,CfadtRR,4,160,4,232,-,BENIGN
1745480122.852776,CHuxBt3wBgGslyh3Jk,192.168.1.27,45568,151.101.194.91,443,tcp,-,0.021203,0,24,RSTO,T,F,0,CafdtR,2,80,4,232,-,BENIGN
1745480123.359054,Cf65sx1Afn1Y6QlwEk,192.168.1.27,53310,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480123.638574,CEOLOMwihiGLiE0b2,192.168.1.27,53650,118.97.159.24,443,tcp,-,0.004760,0,24,RSTRH,T,F,0,^dfCr,0,0,4,208,-,BENIGN
1745480123.865746,CP4Qsn4o8TcpUsMjpl,192.168.1.27,59614,146.75.46.91,443,tcp,-,0.019529,0,0,RSTO,T,F,0,CfadtRR,4,160,4,232,-,BENIGN
